Majority protein IDs,Protein names,Gene names,ORF,Peptides,Unique peptides,Sequence coverage [%],PEP,Copy number
P36100,Transcription initiation factor IIE subunit alpha,TFA1,YKL028W,7,7,17.2,8.39E-22,1031.68254
Q92317,Negative cofactor 2 complex subunit beta,NCB2,YDR397C,3,3,23.3,1.66E-32,1035.910396
P29366,Bud emergence protein 1,BEM1,YBR200W,18,18,43,1.39E-193,1036.562234
P53219,Abhydrolase domain-containing protein IMO32,IMO32,YGR031W,7,7,33.9,7.56E-83,1037.799426
P40513,Mitochondrial acidic protein MAM33,MAM33,YIL070C,3,3,14.3,3.51E-48,1038.518656
P32568,Protein SNQ2,SNQ2,YDR011W,27,25,25.8,0,1040.52749
P38169,Kynurenine 3-monooxygenase,BNA4,YBL098W,14,14,36.3,1.43E-93,1041.268759
Q12288,Putative glutamine amidotransferase YLR126C,,YLR126C,9,9,48.6,1.81E-72,1045.200326
P38139,Lipid droplet hydrolase 1,LDH1,YBR204C,9,9,30.9,4.89E-45,1048.016893
Q12487,"54S ribosomal protein L23, mitochondrial",MRPL23,YOR150W,5,5,38.7,8.99E-28,1048.143686
P42826,Xylulose kinase,XKS1,YGR194C,20,20,40.7,1.61E-182,1049.391308
Q02199,Nucleoporin NUP49/NSP49,NUP49,YGL172W,8,8,32.8,2.95E-149,1050.223895
Q03034,Ferulic acid decarboxylase 1,FDC1,YDR539W,11,11,26.4,1.07E-57,1051.759925
Q12511,Protein phosphatase 2C homolog 5,PTC5,YOR090C,12,12,29.7,4.07E-130,1051.769214
P53379,Aspartic proteinase MKC7,MKC7,YDR144C,8,8,19.6,4.10E-131,1053.167277
P40354,Protein N-terminal amidase,NTA1,YJR062C,17,17,48.4,1.77E-167,1055.706444
P32351,Sugar utilization regulatory protein IMP2,IMP2,YIL154C,2,2,10.1,9.40E-31,1055.814661
P23293,Serine/threonine-protein kinase BUR1,SGV1,YPR161C,18,18,35.9,3.01E-161,1055.914724
Q02774,Secretory component protein SHR3,SHR3,YDL212W,1,1,7.1,8.03E-51,1058.390454
P41697,Bud site selection protein 6,BUD6,YLR319C,29,29,46.7,5.26E-169,1059.541799
P36141,"Putative redox protein FMP46, mitochondrial",FMP46,YKR049C,3,3,24.8,1.26E-17,1060.779701
Q07950,Sterol esterase 2,YEH2,YLR020C,11,11,28.6,4.34E-64,1062.957577
P32579,tRNA threonylcarbamoyladenosine biosynthesis protein SUA5,SUA5,YGL169W,9,9,25.8,2.26E-40,1068.093247
Q12383,tRNA guanosine-2-O-methyltransferase TRM13,TRM13,YOL125W,9,9,23.3,8.08E-28,1068.187385
P53335,Protein PXR1,PXR1,YGR280C,7,7,32.1,1.50E-41,1073.32852
P43597,Uncharacterized protein YFR016C,YFR016C,YFR016C,40,40,47.4,0,1075.894345
P32913,Vacuolar protein sorting-associated protein 17,VPS17,YOR132W,13,13,34.1,5.42E-71,1076.541941
Q03579,Ceramide synthase subunit LIP1,LIP1,YMR298W,2,2,12.7,1.69E-05,1078.203119
P53331,RNA exonuclease 1,RNH70,YGR276C,16,16,44.3,2.77E-171,1079.069044
Q04322,Probable GTPase-activating protein GYL1,GYL1,YMR192W,24,24,47.8,3.37E-176,1079.700553
Q06833,Uncharacterized PH domain-containing protein YPR091C,YPR091C,YPR091C,24,24,42.9,1.70E-235,1085.946517
P47127,"Altered inheritance of mitochondria protein 24, mitochondrial",AIM24,YJR080C,10,10,28.2,3.17E-61,1088.466141
P32843,Mitochondrial escape protein 2,YME2,YMR302C,22,22,38.1,2.65E-146,1089.920082
Q12344,GTPase-activating protein GYP5,GYP5,YPL249C,17,17,28.3,2.42E-249,1090.000267
P48360,"Probable NADPH:adrenodoxin oxidoreductase, mitochondrial",ARH1,YDR376W,15,15,39.1,1.85E-135,1090.285601
P32523,Pre-mRNA-splicing factor 19,PRP19,YLL036C,13,13,31.2,2.30E-89,1092.670555
P32564,Protein SCM4,SCM4,YGR049W,6,6,25.7,2.34E-18,1092.672179
Q08732,Serine/threonine-protein kinase HRK1,HRK1,YOR267C,13,13,23.3,8.09E-94,1092.932558
Q3E798,Uncharacterized protein YLR099W-A,YLR099W-A,YLR099W-A,2,2,26.4,8.97E-07,1094.266046
Q12242,UBA domain-containing protein RUP1,RUP1,YOR138C,14,14,24.1,9.85E-111,1094.422612
P40469,DNA repair/transcription protein MET18/MMS19,MET18,YIL128W,36,36,45.2,0,1094.589556
P38146,GTP-binding protein YPT10,YPT10,YBR264C,6,6,44.2,4.03E-44,1096.30892
P39984,Histone acetyltransferase type B subunit 2,HAT2,YEL056W,8,8,30.7,7.69E-61,1097.170859
P32875,"Lipoyl synthase, mitochondrial",LIP5,YOR196C,8,8,27.8,7.23E-64,1097.208114
P53946,Actin-related protein 5,ARP5,YNL059C,20,20,36.3,5.60E-141,1099.78484
P25339,Pumilio homology domain family member 4,PUF4,YGL014W,18,18,34.9,1.14E-171,1100.761617
P53155,Uncharacterized protein YGL082W,YGL082W,YGL082W,7,7,23.6,2.88E-90,1102.357792
Q12082,"Uncharacterized protein YDL157C, mitochondrial",,YDL157C,3,3,32.2,7.26E-26,1102.73509
P12887,"Uracil-DNA glycosylase, mitochondrial",UNG1,YML021C,10,10,46,5.04E-61,1102.913805
Q06625,"Glycogen debranching enzyme;4-alpha-glucanotransferase;Amylo-alpha-1,6-glucosidase",GDB1,YPR184W,27,27,34.1,0,1104.13526
P40368,Nucleoporin NUP82,NUP82,YJL061W,24,24,42.8,7.37E-176,1105.989634
P32467,Low-affinity glucose transporter HXT4,HXT4,YHR092C,6,6,13.7,3.76E-87,1106.305982
P32794,ATPase family gene 2 protein,AFG2,YLR397C,15,15,29,1.07E-207,1109.321285
P22579,Transcriptional regulatory protein SIN3,SIN3,YOL004W,37,37,31.2,1.03E-261,1110.299448
P42937,CDC25-like phosphatase YCH1,YCH1,YGR203W,3,3,20.9,2.32E-11,1111.423996
P33412,Ethanolamine-phosphate cytidylyltransferase,ECT1,YGR007W,9,9,44.6,1.97E-108,1114.235928
P23287,Serine/threonine-protein phosphatase 2B catalytic subunit A1,CNA1,YLR433C,14,13,26.9,8.61E-82,1114.830897
P15732,Ubiquitin-conjugating enzyme E2-16 kDa,UBC5,YDR059C,3,2,37.8,2.46E-67,1115.112835
Q03264,RNA exonuclease NGL2,NGL2,YMR285C,14,14,36.9,8.78E-129,1118.139241
P40343,Vacuolar protein sorting-associated protein 27,VPS27,YNR006W,20,20,48.6,8.68E-208,1118.891172
P32364,Kinesin-related protein SMY1,SMY1,YKL079W,25,25,47.3,2.61E-220,1119.913107
P32644,Putative ATP-dependent RNA helicase ECM32,ECM32,YER176W,29,29,35,2.84E-199,1121.471694
P31380,Uncharacterized ATP-dependent helicase FUN30,FUN30,YAL019W,32,32,37.8,6.40E-303,1121.514002
Q3E784,SCOCO-like protein 1,SLO1,YER180C-A,3,3,43.5,1.52E-25,1122.034681
P39960,GTPase-activating protein BEM2/IPL2,BEM2,YER155C,54,54,37.7,0,1122.03723
Q06497,Peroxisomal adenine nucleotide transporter 1,ANT1,YPR128C,8,8,29.6,1.97E-62,1122.84631
Q02630,Nucleoporin NUP116/NSP116,NUP116,YMR047C,23,23,28.1,2.56E-185,1123.735539
P38341,"Altered inheritance of mitochondria protein 5, mitochondrial",AIM5,YBR262C,2,2,35.8,3.96E-27,1123.879607
Q07878,Vacuolar protein sorting-associated protein 13,VPS13,YLL040C,70,70,30.2,0,1127.288911
Q01329,Pre-tRNA-processing protein PTA1,PTA1,YAL043C,21,21,35.4,1.50E-202,1127.545558
P40481,Histidine protein methyltransferase 1,HPM1,YIL110W,9,9,33.4,7.10E-79,1127.623864
P53337,ER-derived vesicles protein ERV29,ERV29,YGR284C,2,2,9,2.24E-18,1127.94397
Q02629,Nucleoporin NUP100/NSP100,NUP100,YKL068W,18,18,31.4,2.23E-221,1128.58565
P40012,Protoporphyrinogen oxidase,HEM14,YER014W,17,17,41.2,1.55E-118,1130.825374
P32461,Diphthamide biosynthesis protein 2,DPH2,YKL191W,11,11,32,2.52E-133,1133.549204
Q99316,Protein disulfide isomerase MPD2,MPD2,YOL088C,7,7,33.2,3.14E-47,1134.360992
P27466,Calcium/calmodulin-dependent protein kinase I,CMK1,YFR014C,15,15,43.5,2.24E-142,1134.645671
P25298,mRNA 3-end-processing protein RNA14,RNA14,YMR061W,23,23,45.5,5.56E-161,1136.435712
Q12040,Broad-specificity phosphatase YOR283W,YOR283W,YOR283W,4,4,25.7,6.66E-17,1136.896837
P48240,Exosome complex component MTR3,MTR3,YGR158C,6,6,32.8,2.32E-59,1137.160433
Q08561,Ino eighty subunit 4,IES4,YOR189W,6,6,46.6,4.41E-27,1137.87476
P32591,SWI/SNF complex subunit SWI3,SWI3,YJL176C,27,27,45.6,2.78E-216,1139.144773
P32657,Chromo domain-containing protein 1,CHD1,YER164W,39,39,31.3,0,1139.468268
P33421,"Succinate dehydrogenase [ubiquinone] cytochrome b subunit, mitochondrial",SDH3,YKL141W,2,2,9.6,4.77E-15,1139.561263
Q06143,Mitochondrial dicarboxylate transporter,DIC1,YLR348C,6,6,29.9,4.59E-53,1140.5031
P40335,Carboxypeptidase Y-deficient protein 8,PEP8,YJL053W,10,10,43.3,7.36E-109,1140.812806
P38958,"Protein PET100, mitochondrial",PET100,YDR079W,4,4,40.5,3.06E-16,1141.356044
P32191,"Glycerol-3-phosphate dehydrogenase, mitochondrial",GUT2,YIL155C,22,22,49.3,1.58E-206,1141.933919
P38218,ADP-ribose 1-phosphate phosphatase,POA1,YBR022W,7,7,40.1,8.36E-34,1142.994751
P53265,Uncharacterized protein YGR111W,,YGR111W,13,13,51.2,5.17E-166,1148.972766
P53110,Uncharacterized protein YGL159W,,YGL159W,9,9,29.5,2.61E-89,1150.1955
P08539,Guanine nucleotide-binding protein alpha-1 subunit,GPA1,YHR005C,15,15,44.7,7.93E-132,1152.625578
P35194,U3 small nucleolar RNA-associated protein 20,UTP20,YBL004W,58,58,32.3,0,1152.75789
P27929,"37S ribosomal protein NAM9, mitochondrial",NAM9,YNL137C,18,18,40.7,3.49E-84,1154.61544
P25642,"54S ribosomal protein IMG2, mitochondrial",IMG2,YCR071C,5,5,39.7,5.22E-28,1154.681191
P38932,Vacuolar protein sorting-associated protein 45,VPS45,YGL095C,19,19,43,3.36E-150,1156.263345
P36024,Phosphopantothenoylcysteine decarboxylase subunit SIS2,SIS2,YKR072C,12,12,30.6,1.16E-138,1157.709594
Q08045,Long chronological lifespan protein 2,LCL2,YLR104W,3,3,19.1,1.86E-08,1158.081617
P53686,NAD-dependent protein deacetylase HST2,HST2,YPL015C,9,9,41.2,7.32E-93,1159.569086
Q05123,Actin-like protein ARP9,ARP9,YMR033W,11,11,27,2.25E-80,1160.551714
P48445,Biotin--protein ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[acetyl-CoA-carboxylase] ligase,BPL1,YDL141W,17,17,37.8,1.55E-157,1160.561785
P53095,D-serine dehydratase,DSD1,YGL196W,12,12,37.9,1.71E-73,1162.472504
P53960,Putative alanyl-tRNA editing protein alaX,,YNL040W,10,10,25.7,1.69E-98,1163.011625
P17883,Superkiller protein 3,SKI3,YPR189W,40,40,33.4,0,1163.075236
P80428,Actin-related protein 4,ARP4,YJL081C,10,10,21.9,2.72E-49,1164.317824
Q12091,Damage response protein 1,DAP1,YPL170W,6,6,59.9,6.78E-36,1164.334466
P53727,Putative pyridoxal kinase BUD17,BUD17,YNR027W,10,10,44.8,2.45E-80,1171.58883
P69851,DASH complex subunit DAD4,DAD4,YDR320C-A,1,1,29.2,4.29E-68,1173.396205
P53140,"Protein RMD9, mitochondrial",RMD9,YGL107C,16,16,35,4.76E-140,1173.772636
P34909,General negative regulator of transcription subunit 4,MOT2,YER068W,12,12,29,9.96E-123,1174.093303
Q02204,"54S ribosomal protein L13, mitochondrial",MRPL13,YKR006C,7,7,45.8,1.88E-44,1179.489291
P36135,Protein UTH1,UTH1,YKR042W,4,4,17,6.44E-48,1181.327478
Q07807,mRNA-binding protein PUF3,PUF3,YLL013C,19,19,30.8,3.28E-202,1185.04421
P53255,CWF19-like protein DRN1,DRN1,YGR093W,16,16,39.3,1.16E-88,1185.632493
P25358,Elongation of fatty acids protein 2,FEN1,YCR034W,3,3,8.4,7.20E-14,1187.484882
P38149,Probable di- and tripeptidase DUG2,DUG2,YBR281C,19,19,32.7,4.15E-204,1188.002795
P49687,Nucleoporin NUP145;Nucleoporin NUP145N;Nucleoporin NUP145C,NUP145,YGL092W,32,32,34.7,0,1189.437739
P47037,Structural maintenance of chromosomes protein 3,SMC3,YJL074C,42,42,41.8,4.12E-284,1193.673845
P50101,Ubiquitin carboxyl-terminal hydrolase 15,UBP15,YMR304W,29,29,33.8,0,1194.325668
P51998,"54S ribosomal protein YmL6, mitochondrial",YML6,YML025C,6,6,26.6,5.17E-25,1194.550322
P36121,DNA-directed RNA polymerase III subunit RPC5,RPC37,YKR025W,9,9,49.6,1.90E-81,1197.96947
P32864,Rab proteins geranylgeranyltransferase component A,MRS6,YOR370C,12,12,31.2,4.56E-154,1198.529392
P46151,Methylenetetrahydrofolate reductase 1,MET12,YPL023C,14,14,32.7,4.19E-123,1199.097481
P38138,Glucosidase 2 subunit alpha,ROT2,YBR229C,15,15,25.7,8.79E-154,1199.13147
Q00618,Geranylgeranyl transferase type-2 subunit alpha,BET4,YJL031C,9,9,35.2,7.51E-56,1200.686707
P53218,Ribonucleases P/MRP protein subunit POP6,POP6,YGR030C,5,5,40.5,7.99E-96,1201.187488
P40498,U3 small nucleolar RNA-associated protein 25,UTP25,YIL091C,18,18,26.5,3.34E-107,1201.898281
P06102,General negative regulator of transcription subunit 3,NOT3,YIL038C,20,20,34.1,1.35E-163,1203.024139
P38737,Proteasome component ECM29,ECM29,YHL030W,39,39,27.7,3.86E-287,1209.480299
P17558,"37S ribosomal protein PET123, mitochondrial",PET123,YOR158W,10,10,43.4,4.54E-103,1209.696505
Q06178,Nicotinamide-nucleotide adenylyltransferase 1,NMA1,YLR328W,7,5,27.2,1.17E-50,1213.990422
P54964,"Oligoribonuclease, mitochondrial",REX2,YLR059C,3,3,27.9,8.12E-97,1216.763189
P38775,Putative uncharacterized protein YHR045W,YHR045W,YHR045W,13,13,31.2,6.02E-90,1217.679881
Q03769,Epsin-5,ENT5,YDR153C,5,5,17.5,1.33E-55,1220.030189
Q04372,Type 2A phosphatase-associated protein 42,TAP42,YMR028W,15,15,59.8,1.46E-126,1224.518651
P47150,"37S ribosomal protein S7, mitochondrial",RSM7,YJR113C,7,7,32.4,1.14E-30,1224.97906
Q05518,Protein PAL1,PAL1,YDR348C,8,8,30.1,1.55E-94,1229.965243
P32604,"Fructose-2,6-bisphosphatase",FBP26,YJL155C,16,16,44.2,2.04E-137,1233.358401
P38153,AP-3 complex subunit mu,APM3,YBR288C,9,9,24.8,4.95E-65,1233.400721
P39005,Cell wall synthesis protein KRE9,KRE9,YJL174W,3,3,22.8,7.00E-51,1237.609808
P43573,Bud site selection protein 27,BUD27,YFL023W,22,22,35.8,2.01E-111,1241.222987
P39081,Protein PCF11,PCF11,YDR228C,20,20,39.5,4.85E-188,1242.559962
Q3E795,Uncharacterized protein YLR361C-A,YLR361C-A,YLR361C-A,1,1,9.2,0.00011569,1243.284594
P26570,Serine/threonine-protein phosphatase PP-Z1,PPZ1,YML016C,17,17,35.5,8.35E-217,1244.873963
Q01802,"Aspartate aminotransferase, mitochondrial",AAT1,YKL106W,15,15,37.5,1.06E-91,1248.367706
P02381,"Ribosomal protein VAR1, mitochondrial",VAR1,Q0140,13,13,38.7,1.92E-147,1249.040884
Q04347,Bud site selection protein 22,BUD22,YMR014W,15,15,30.1,1.46E-73,1253.333486
P17890,DNA-directed RNA polymerase III subunit RPC7,RPC31,YNL151C,4,4,35.5,2.55E-87,1255.895287
P38323,Mitochondrial clpX-like chaperone MCX1,MCX1,YBR227C,16,16,30.8,2.03E-93,1260.467778
P39996,Glutathione transferase 3,GTT3,YEL017W,7,7,31.8,1.69E-150,1262.486055
Q12404,Protein disulfide-isomerase MPD1,MPD1,YOR288C,10,10,31.4,3.02E-43,1262.881852
P12611,Growth regulation protein,WHI2,YOR043W,10,10,29,1.12E-141,1264.672335
Q04772,Increased recombination centers protein 21,IRC21,YMR073C,9,9,58.2,8.09E-133,1265.084812
Q08909,Uncharacterized protein YOR385W,YOR385W,YOR385W,5,5,24.5,7.02E-83,1266.989464
P39707,tRNA-splicing endonuclease subunit SEN34,SEN34,YAR008W,5,5,16.7,8.75E-21,1272.555582
P32477,Glutamate--cysteine ligase,GSH1,YJL101C,16,16,37.2,1.04E-219,1273.732687
Q99176,Protein SRN2,SRN2,YLR119W,8,8,56.3,2.80E-67,1276.926179
P35996,"54S ribosomal protein L38, mitochondrial;54S ribosomal protein L34, mitochondrial",MRPL38,YKL170W,5,5,55.1,5.47E-37,1277.973566
P40013,Protein BIM1,BIM1,YER016W,11,11,55.8,5.20E-119,1282.188029
P39685,Nucleoporin POM152,POM152,YMR129W,38,38,40.8,0,1282.895847
Q12382,CTP-dependent diacylglycerol kinase 1,DGK1,YOR311C,4,4,20,2.25E-51,1284.051168
P46682,AP-3 complex subunit beta,APL6,YGR261C,18,18,29.9,1.13E-145,1284.231408
P40491,"ATP synthase assembly factor FMC1, mitochondrial",FMC1,YIL098C,4,4,44.5,6.51E-59,1287.097779
P36132,Probable tRNA threonylcarbamoyladenosine biosynthesis protein KAE1,KAE1,YKR038C,10,10,32.6,1.57E-112,1294.102326
Q12345,Ino eighty subunit 3,IES3,YLR052W,8,8,44,4.91E-107,1294.668392
P00410,Cytochrome c oxidase subunit 2,COX2,Q0250,3,3,10,4.00E-09,1294.955687
P40208,Glucose-induced degradation protein 8,GID8,YMR135C,15,15,50.3,6.23E-242,1297.639075
Q12129,Nonsense-mediated decay protein 4,NMD4,YLR363C,6,6,39.4,7.38E-35,1298.128668
P11938,DNA-binding protein RAP1,RAP1,YNL216W,15,15,27.1,3.96E-183,1299.074239
Q03653,Protein EFR3,EFR3,YMR212C,29,29,45.3,1.51E-183,1300.060286
P07807,Dihydrofolate reductase,DFR1,YOR236W,5,5,30.3,3.79E-58,1300.447015
Q05015,Family of serine hydrolases 2,FSH2,YMR222C,3,3,15.7,7.56E-67,1300.541054
P36081,Uncharacterized protein YKL077W,YKL077W,YKL077W,6,6,15.8,2.36E-65,1300.688236
P35207,Antiviral helicase SKI2,SKI2,YLR398C,45,45,44.4,0,1301.143722
P40207,Uncharacterized protein YMR134W,,YMR134W,9,9,42.2,4.12E-52,1302.601338
P47822,Mediator of RNA polymerase II transcription subunit 21,SRB7,YDR308C,6,6,81.4,1.56E-63,1302.88543
Q08199,Nucleotide exchange factor SIL1,SIL1,YOL031C,8,8,34,7.41E-131,1303.681058
P32601,Protein DSS4,DSS4,YPR017C,3,3,34.3,3.40E-11,1303.691902
P07143,"Cytochrome c1, heme protein, mitochondrial",CYT1,YOR065W,4,4,20.7,2.41E-38,1305.224749
P38080,Serine/threonine-protein kinase AKL1,AKL1,YBR059C,20,20,30.8,3.29E-239,1306.707286
P20676,Nucleoporin NUP1,NUP1,YOR098C,31,31,38,1.78E-170,1308.454723
P25632,Chromatin structure-remodeling complex protein RSC6,RSC6,YCR052W,13,13,38.5,5.40E-133,1313.155997
P25361,Uncharacterized protein YCR043C,,YCR043C,2,2,42.5,5.59E-06,1314.051371
P39106,"Alpha-1,3-mannosyltransferase MNN1",MNN1,YER001W,21,21,32.8,2.02E-171,1314.442172
P40515,Mitochondria fission 1 protein,FIS1,YIL065C,5,5,23.9,2.29E-20,1318.256112
P34241,Nucleolar pre-ribosomal-associated protein 1,URB1,YKL014C,46,45,32.9,0,1319.701583
Q06704,Golgin IMH1,IMH1,YLR309C,42,42,47.5,3.91E-260,1320.814664
P32331,"Carrier protein YMC1, mitochondrial",YMC1,YPR058W,7,7,32.9,1.77E-98,1322.308609
Q02792,5-3 exoribonuclease 2,RAT1,YOR048C,23,23,32.2,4.39E-222,1322.574633
P40485,"Phosphatidylinositol 4,5-bisphosphate-binding protein SLM1",SLM1,YIL105C,12,12,27.3,6.30E-108,1323.492194
Q05785,Epsin-2,ENT2,YLR206W,8,8,27.9,2.01E-234,1325.21309
P30771,ATP-dependent helicase NAM7,NAM7,YMR080C,23,23,34.2,7.04E-200,1325.620835
Q92331,Vacuolar protein sorting-associated protein 5,VPS5,YOR069W,23,23,47.1,3.98E-184,1325.773157
P04819-2;P04819,DNA ligase 1,CDC9,YDL164C,22,22,47.5,1.14E-207,1327.161666
Q12386,Actin-like protein ARP8,ARP8,YOR141C,24,24,38.8,1.36E-201,1327.916477
P16661,Chitobiosyldiphosphodolichol beta-mannosyltransferase,ALG1,YBR110W,11,11,30.7,2.44E-75,1328.159019
P00044,Cytochrome c iso-1,CYC1,YJR048W,6,4,40.4,9.27E-20,1330.282413
P32908,Structural maintenance of chromosomes protein 1,SMC1,YFL008W,46,46,46.2,0,1332.933228
P53952,Uncharacterized protein YNL050C,,YNL050C,7,7,30.4,9.17E-40,1332.984594
P36095,Vacuolar protein-sorting-associated protein 24,VPS24,YKL041W,6,6,29,6.45E-44,1334.208594
P38122,3-methyl-2-oxobutanoate hydroxymethyltransferase,ECM31,YBR176W,10,10,41.3,2.30E-70,1335.01315
P48234,Ribosome biogenesis protein ENP2,ENP2,YGR145W,14,14,29.4,6.77E-138,1336.776813
P32617,Chromatin-remodeling complex subunit IES6,IES6,YEL044W,4,4,28.3,5.82E-15,1339.111674
Q07914,Mitochondrial import inner membrane translocase subunit TIM14,PAM18,YLR008C,3,3,19.6,3.24E-56,1341.099985
P32266,"Dynamin-like GTPase MGM1, mitochondrial;Dynamin-like GTPase MGM1 large isoform;Dynamin-like GTPase MGM1 small isoform",MGM1,YOR211C,30,30,42.9,8.94E-209,1342.30372
P38339,RHO GTPase-activating protein RGD1,RGD1,YBR260C,25,25,47,3.16E-184,1348.733577
P38129,Transcription initiation factor TFIID subunit 5,TAF5,YBR198C,20,20,39.1,7.71E-243,1350.398146
Q08954,Smr domain-containing protein YPL199C,YPL199C,YPL199C,8,8,30,1.48E-45,1350.696802
Q06168,Chromatin structure-remodeling complex subunit SFH1,SFH1,YLR321C,9,9,50.7,6.78E-135,1351.024139
Q06563,Protein SYM1,SYM1,YLR251W,2,2,11.2,1.54E-06,1351.33367
P32259,Mediator of RNA polymerase II transcription subunit 16,SIN4,YNL236W,31,31,40.7,4.01E-248,1353.09166
P40087,DNA damage-inducible protein 1,DDI1,YER143W,9,9,27.3,1.01E-194,1353.095873
Q06504,N-terminal acetyltransferase B complex catalytic subunit NAT3,NAT3,YPR131C,5,5,25.6,1.45E-21,1354.092458
P34247,U3 small nucleolar RNA-associated protein 11,UTP11,YKL099C,7,7,37.6,4.90E-83,1354.241647
P53177,tRNA wybutosine-synthesizing protein 3,TYW3,YGL050W,11,11,46.9,9.93E-59,1354.305026
P53843,Vacuolar protein sorting-associated protein IST1,IST1,YNL265C,6,6,24.5,3.64E-41,1354.941563
Q01476,Ubiquitin carboxyl-terminal hydrolase 2,UBP2,YOR124C,37,37,41,0,1355.115808
P32795,Mitochondrial inner membrane i-AAA protease supercomplex subunit YME1,YME1,YPR024W,18,18,35.6,2.77E-184,1356.629179
Q05580,LIM domain and RING finger protein YDR266C,YDR266C,YDR266C,22,22,39.9,7.90E-170,1358.821094
P40557,ER-retained PMA1-suppressing protein 1,EPS1,YIL005W,18,18,33.4,1.55E-208,1360.091374
P04051,DNA-directed RNA polymerase III subunit RPC1,RPO31,YOR116C,37,37,34.7,1.49E-258,1360.608096
Q06078,U3 small nucleolar RNA-associated protein 21,UTP21,YLR409C,16,16,22.2,2.54E-191,1361.323015
P42844,Mitochondrial protein import protein ZIM17,ZIM17,YNL310C,6,6,45.4,1.89E-28,1362.105828
P26793,Flap endonuclease 1,RAD27,YKL113C,12,12,39,5.88E-64,1364.620599
P53868,"Alpha-1,2-mannosyltransferase ALG9",ALG9,YNL219C,7,7,17.8,7.99E-71,1365.472365
P50087,Mitochondrial organizing structure protein 2,MOS2,YGR235C,5,5,29.6,5.68E-35,1366.156717
Q07589,Uncharacterized protein YDL144C,YDL144C,YDL144C,6,6,27.2,6.94E-130,1367.444267
Q05791,Cell division cycle protein 123,CDC123,YLR215C,10,10,38.9,5.83E-87,1367.733821
P32597,Nuclear protein STH1/NPS1,STH1,YIL126W,34,34,32.9,6.58E-264,1368.094112
P53040,Transcription initiation factor TFIID subunit 6,TAF6,YGL112C,12,12,29.1,2.25E-91,1371.455455
P25332,Probable ribokinase,RBK1,YCR036W,7,7,22.5,2.45E-30,1374.071057
P54787,Vacuolar protein sorting-associated protein 9,VPS9,YML097C,18,18,49.4,8.59E-114,1374.922919
Q3E835,Uncharacterized protein YOL086W-A,YOL086W-A,YOL086W-A,3,3,34.4,4.91E-13,1375.47551
Q12373,HAT1-interacting factor 1,HIF1,YLL022C,8,8,34.8,5.27E-175,1377.588257
Q04217,Probable ATP-dependent RNA helicase DHR1,ECM16,YMR128W,31,31,30.7,9.12E-254,1381.797529
Q3E756,UPF0768 protein YBL029C-A,YBL029C-A,YBL029C-A,4,4,60.6,3.27E-12,1383.106636
Q12271,"Polyphosphatidylinositol phosphatase INP53;SAC1-like phosphoinositide phosphatase;Phosphatidylinositol 4,5-bisphosphate 5-phosphatase",INP53,YOR109W,26,26,29.4,0,1383.20944
P53305,Mitochondral 37S ribosomal protein S27,RSM27,YGR215W,3,3,49.1,1.07E-43,1389.99865
Q3E7A4,COX assembly mitochondrial protein 2,CMC2,YBL059C-A,4,4,41.3,2.07E-30,1390.176645
P53724,"54S ribosomal protein L50, mitochondrial",MRPL50,YNR022C,6,6,45.3,4.07E-31,1390.537739
P53157,Mitochondrial pyruvate carrier 1,FMP37,YGL080W,3,3,32.3,1.10E-21,1391.448353
Q06493,"LETM1 domain-containing protein YLH47, mitochondrial",YLH47,YPR125W,14,14,32.6,4.16E-76,1392.915452
P39515,Mitochondrial import inner membrane translocase subunit TIM17,TIM17,YJL143W,2,2,32.9,6.90E-75,1393.359122
P38786,Ribonuclease P/MRP protein subunit RPP1,RPP1,YHR062C,9,9,44.4,1.69E-51,1393.960156
P38225,Very long-chain fatty acid transport protein,FAT1,YBR041W,17,17,41.7,4.06E-122,1397.299095
P38853,Kelch repeat-containing protein 1,KEL1,YHR158C,37,37,47.2,0,1397.800789
P53044,Ubiquitin fusion degradation protein 1,UFD1,YGR048W,8,8,26.9,1.20E-50,1397.998765
Q04418,RNA polymerase II-associated protein RBA50,RBA50,YDR527W,15,15,45.8,8.15E-71,1398.678596
P47155,Protein ILM1,ILM1,YJR118C,1,1,10.3,1.72E-16,1399.804445
